class,gill-color,spore-print-color,population,gill-size
1,4,2,3,1
0,4,3,2,0
0,5,3,2,0
1,5,2,3,1
0,4,3,0,0
0,5,2,2,0
0,2,2,2,0
0,5,3,3,0
1,7,2,4,1
0,2,2,3,0
0,2,3,2,0
0,5,2,3,0
0,10,3,3,0
1,4,3,4,1
0,5,2,0,0
0,4,3,5,1
0,4,3,0,0
1,5,2,3,1
1,5,3,3,1
1,4,3,3,1
0,4,3,3,0
1,5,3,4,1
0,4,3,3,0
0,10,3,2,0
0,2,2,3,0
1,5,3,4,1
0,5,3,2,0
0,10,3,2,0
0,4,2,5,1
0,5,3,4,1
0,2,3,2,0
1,4,3,3,1
0,5,3,2,0
0,7,3,5,0
0,5,3,3,0
0,10,3,4,1
0,4,2,4,1
1,10,3,3,1
0,7,3,4,1
0,4,2,3,0
0,5,3,3,0
0,5,2,5,0
0,2,2,5,1
1,7,3,4,1
0,10,2,2,0
0,5,3,2,0
0,4,2,3,0
0,10,3,2,0
0,5,3,3,0
0,10,2,3,0
0,10,2,3,0
0,4,2,3,0
0,4,3,2,0
1,4,3,4,1
1,4,2,4,1
0,10,2,3,0
0,5,3,0,0
0,10,3,2,0
0,4,2,2,0
0,7,2,5,0
0,4,3,4,1
0,4,3,3,0
0,2,3,3,0
0,2,3,2,0
0,5,3,3,0
0,4,2,0,0
0,5,2,3,0
0,10,3,3,0
0,10,2,2,0
0,7,3,4,1
0,7,3,4,1
0,2,3,3,0
0,10,3,4,1
0,7,2,3,0
0,4,2,3,0
0,7,3,4,1
0,5,6,4,1
0,7,3,5,0
1,10,3,4,1
0,5,3,5,0
0,4,3,3,0
1,10,2,3,1
0,5,3,5,1
0,5,3,3,0
0,10,2,3,0
0,4,2,3,0
0,10,2,3,0
0,5,3,3,0
0,10,2,5,0
0,5,3,4,1
0,5,3,5,1
0,4,2,3,0
0,2,2,3,0
0,2,2,2,0
0,5,3,0,0
0,2,3,3,0
0,7,3,3,0
0,5,2,2,0
0,2,3,3,0
0,2,2,3,0
0,7,2,3,0
0,5,2,2,0
0,10,3,3,0
0,5,2,5,0
0,2,3,2,0
0,5,2,2,0
0,10,3,5,0
0,5,2,3,0
0,2,3,3,0
0,4,2,2,0
0,10,2,2,0
0,2,2,5,1
0,10,6,4,1
0,5,2,2,0
1,5,3,4,1
0,7,3,3,0
0,7,3,5,1
0,10,2,5,0
0,7,6,4,1
0,4,3,5,1
1,4,2,4,1
0,2,3,2,0
1,7,2,4,1
0,4,3,0,0
0,2,3,3,0
0,5,2,3,0
0,10,3,2,0
0,3,3,0,0
0,5,2,2,0
0,5,3,3,0
0,10,3,3,0
0,10,3,3,0
0,10,6,4,1
0,2,2,3,0
